Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
e4e453df-802a-49f8-99e1-4011f3d8e769,"2020-06-16, 11:27:32 PM",root,GenerateServiceLastAccessedDetails,,,,us-east-1,,95.90.241.139
dc0989fe-613b-4853-8fad-5364d029566c,"2020-06-16, 11:27:06 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
1f57aee3-afad-4705-93f0-ae0118b7ae39,"2020-06-16, 11:24:53 PM",root,GenerateServiceLastAccessedDetails,,,,us-east-1,,95.90.241.139
013ae29c-9715-4903-9640-6ad5324610ee,"2020-06-16, 11:17:48 PM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAU23B4NY4J2OCKGC7""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,95.90.241.139
797a2b12-d776-4339-af38-0238f6d7331f,"2020-06-16, 11:17:48 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,95.90.241.139
94360f7b-2ed4-4263-b210-c2a93204978a,"2020-06-16, 11:17:47 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,95.90.241.139
e185462d-0183-4074-a969-d5c01bb368da,"2020-06-16, 11:17:47 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::332528381496:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAU23B4NY4A6ELO6S3A""}]",,us-east-1,,95.90.241.139
f12daae8-06f8-4291-aa40-2ac4dee5c3d8,"2020-06-16, 11:17:47 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,95.90.241.139
d19d8688-d636-4b01-82d2-c49d3c1d01da,"2020-06-16, 11:15:54 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,95.90.241.139
e7dd5e2a-29ec-4798-bdac-35e658ce09e0,"2020-06-16, 11:15:54 PM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAU23B4NY4KR6LFAUC""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,95.90.241.139
47708129-d369-42a1-9e72-94fbc35a2230,"2020-06-16, 11:15:53 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,95.90.241.139
b2c0742b-f425-4158-bd1a-8049ea7d0e16,"2020-06-16, 11:15:53 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,95.90.241.139
d75577bb-3fd4-402e-a014-69f1033ef30c,"2020-06-16, 11:15:52 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::332528381496:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAU23B4NY4MHVB6IYQE""}]",,us-east-1,,95.90.241.139
335d3e46-9d1b-4e99-be19-6dadfe83cdb3,"2020-06-16, 11:14:40 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAU23B4NY4BHE3GI4SY""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::332528381496:group/Reviewers""}]",,us-east-1,,95.90.241.139
bfe86c49-9ca4-4cc1-848e-098f52c4605d,"2020-06-16, 11:14:40 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,95.90.241.139
256e6d60-9efc-47e2-92af-6b231baa9abc,"2020-06-16, 11:14:23 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,95.90.241.139
486fe7cc-0a08-4b2a-9ea0-0055b1cae6f6,"2020-06-16, 11:14:23 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,95.90.241.139
d14ee55f-c92d-43b3-83ff-9eb520e1e7c7,"2020-06-16, 11:14:23 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::332528381496:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAU23B4NY4G5DCFZTNJ""}]",,us-east-1,,95.90.241.139
4ffb5f12-c534-4021-9647-a4a881e2a7ba,"2020-06-16, 09:59:02 PM",root,ConsoleLogin,,,,us-east-1,,95.90.241.139
71f54f2d-d511-4156-b72b-2cc89b19a57b,"2020-06-16, 01:15:00 AM",root,UpdateAccountPasswordPolicy,,,,us-east-1,,95.90.241.139
11eb412a-d747-4a57-a7a0-40ffd91a5b1d,"2020-06-16, 01:13:15 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,95.90.241.139
5430deda-5ca7-4943-9edb-cf278e9e3030,"2020-06-16, 01:13:15 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""}]",,us-east-1,,95.90.241.139
f990a466-7940-421d-8120-156c0e328392,"2020-06-16, 01:13:15 AM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAU23B4NY4C2NUF4C2""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""}]",,us-east-1,,95.90.241.139
c7b9ece0-3349-4d3c-a361-0bbc95354f26,"2020-06-16, 01:13:14 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAU23B4NY4H7XKCW2N4""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::332528381496:user/kinshuk-iam""}]",,us-east-1,,95.90.241.139
4121dbec-5b1b-432d-91a2-e673d53f26ac,"2020-06-16, 01:12:43 AM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""}]",,us-east-1,,95.90.241.139
e7c74e96-6641-4cf2-b310-f6fbcf59d32c,"2020-06-16, 01:12:43 AM",root,DeleteUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""}]",,us-east-1,,95.90.241.139
12272b1a-b3a3-4001-ad71-699535061881,"2020-06-16, 01:12:42 AM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""}]",,us-east-1,,95.90.241.139
15c99a1f-7c19-41bb-8295-72a12c77941f,"2020-06-16, 01:12:42 AM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,95.90.241.139
176faf7a-6ddd-4e04-b414-965f33005c21,"2020-06-16, 01:12:42 AM",root,DeleteLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""}]",,us-east-1,,95.90.241.139
642959b7-3b8c-4286-b592-b857a5b55804,"2020-06-16, 01:12:42 AM",root,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAU23B4NY4HXWMEZCY""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""}]",,us-east-1,,95.90.241.139
7449348a-3c58-4e24-a12c-a7470ea682a2,"2020-06-16, 01:12:42 AM",root,DeleteAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAU23B4NY4PNOVZHVG""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""}]",,us-east-1,,95.90.241.139
a628be69-dd01-4615-91be-4a8c73de15ec,"2020-06-16, 01:12:42 AM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,95.90.241.139
2e78b6a3-e900-49f6-8850-f1044f6629f0,"2020-06-16, 01:11:58 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""}]",,us-east-1,,95.90.241.139
922f60ba-6bf8-4c1c-9290-2e5738989a39,"2020-06-16, 01:11:58 AM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAU23B4NY4PNOVZHVG""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""}]",,us-east-1,,95.90.241.139
bb46085d-17da-4d63-b475-09b968f01913,"2020-06-16, 01:11:57 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,95.90.241.139
c60387af-80dc-4439-99a9-af367a2fe193,"2020-06-16, 01:11:57 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAU23B4NY4EQVXWTC34""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam2""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::332528381496:user/kinshuk-iam2""}]",,us-east-1,,95.90.241.139
070d70b9-a003-4211-bcd1-306ff0336660,"2020-06-16, 01:10:26 AM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""}]",,us-east-1,,95.90.241.139
9063e52d-4383-4744-94e9-b0e94b46f27c,"2020-06-16, 01:10:26 AM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,95.90.241.139
f97fe6e6-7b42-4d7b-b008-989a1f01684d,"2020-06-16, 01:10:26 AM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAU23B4NY4HXWMEZCY""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""}]",,us-east-1,,95.90.241.139
4ef7f955-3fbc-49e2-8514-9a965e2f5284,"2020-06-16, 01:10:25 AM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""kinshuk-iam""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAU23B4NY4PVIOVG3EN""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::332528381496:user/kinshuk-iam""}]",,us-east-1,,95.90.241.139
bf501a44-5bbf-49a7-8e75-1ef220a2f425,"2020-06-15, 07:29:55 PM",root,ConsoleLogin,,,,us-east-1,,95.90.241.139
952db3e3-b12f-4c9a-8358-65ee66388e90,"2020-06-15, 01:10:03 AM",root,ConsoleLogin,,,,us-east-1,,95.90.241.139
6fc7a46f-435a-489a-9608-cd2b1f0cc8c6,"2020-06-14, 06:37:23 PM",root,AttachRolePolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/service-role/AmazonRDSEnhancedMonitoringRole""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""rds-monitoring-role""}]",,us-east-1,,95.90.241.139
77a5cda5-f6bc-4450-a19a-eef0857bf2ef,"2020-06-14, 06:37:23 PM",root,CreateRole,IAM Role,"[{""resourceType"":""AWS::IAM::Role"",""resourceName"":""arn:aws:iam::332528381496:role/rds-monitoring-role""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""rds-monitoring-role""},{""resourceType"":""AWS::IAM::Role"",""resourceName"":""AROAU23B4NY4PIOHR3TVR""}]",,us-east-1,,95.90.241.139
035cc1b8-c22f-4af4-8475-0df21c2e6687,"2020-06-14, 06:02:08 PM",root,CreateServiceLinkedRole,,,,us-east-1,,rds.amazonaws.com
5f36282f-caad-41e8-8115-6bb13a8f2d17,"2020-06-14, 01:08:49 PM",root,ConsoleLogin,,,,us-east-1,,95.90.241.139
